YEAR,CODE,RATE,DEATHS,STATE
2019,AL,219.60,13448,Alabama
2019,AK,129.70,843,Alaska
2019,AZ,134.00,12587,Arizona
2019,AR,226.50,8669,Arkansas
2019,CA,136.90,62394,California
2019,CO,127.70,7762,Colorado
2019,CT,143.10,7354,Connecticut
2019,DE,154.30,2053,Delaware
2019,FL,140.10,47144,Florida
2019,GA,175.50,19543,Georgia
2019,HI,120.30,2503,Hawaii
2019,ID,150.70,3061,Idaho
2019,IL,162.00,25690,Illinois
2019,IN,178.80,14555,Indiana
2019,IA,172.90,7505,Iowa
2019,KS,166.00,6140,Kansas
2019,KY,196.40,10742,Kentucky
2019,LA,207.80,11302,Louisiana
2019,ME,142.40,2940,Maine
2019,MD,159.30,11770,Maryland
2019,MA,127.20,11761,Massachusetts
2019,MI,193.80,25547,Michigan
2019,MN,116.70,8401,Minnesota
2019,MS,226.70,7997,Mississippi
2019,MO,187.00,15018,Missouri
2019,MT,157.10,2290,Montana
2019,NE,144.90,3540,Nebraska
2019,NV,198.10,6864,Nevada
2019,NH,143.40,2707,New Hampshire
2019,NJ,158.00,18716,New Jersey
2019,NM,158.20,4245,New Mexico
2019,NY,166.60,43806,New York
2019,NC,154.70,19617,North Carolina
2019,ND,147.70,1448,North Dakota
2019,OH,188.80,29160,Ohio
2019,OK,231.40,10960,Oklahoma
2019,OR,131.00,7128,Oregon
2019,PA,172.90,32299,Pennsylvania
2019,RI,159.30,2404,Rhode Island
2019,SC,164.00,10579,South Carolina
2019,SD,158.10,1840,South Dakota
2019,TN,202.80,16814,Tennessee
2019,TX,163.40,46139,Texas
2019,UT,146.50,3882,Utah
2019,VT,151.60,1368,Vermont
2019,VA,149.10,15062,Virginia
2019,WA,134.80,11862,Washington
2019,WV,197.40,5087,West Virginia
2019,WI,158.80,12241,Wisconsin
2019,WY,150.40,1067,Wyoming